Title,Year,Rating
Wonder Woman 1984,2020,5.4
Soul,2020,8.1
The Swordsman (Geom-gaek),2020,6.8
Tom Clancy's Without Remorse,2021,5.8
Army of the Dead,2021,5.9
Friends: The Reunion,2021,8.4
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Justice Society: World War II,2021,6.4
Monster Pets: A Hotel Transylvania Short,2021,6.7
The Mitchells vs. The Machines,2021,7.8
The Marksman,2021,5.6
The Little Things,2021,6.3
The Last Full Measure,2020,6.8
Oxygen (Oxygène),2021,6.5
Love and Monsters,2020,7
Project Power,2020,6
Buddy Games,2019,4.9
The Virtuoso,2021,4.9
Synchronic,2020,6.2
Fatman,2020,5.9
Wonder Woman 1984,2020,5.4
Soul,2020,8.1
The Swordsman (Geom-gaek),2020,6.8
Tom Clancy's Without Remorse,2021,5.8
Army of the Dead,2021,5.9
Friends: The Reunion,2021,8.4
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Justice Society: World War II,2021,6.4
Monster Pets: A Hotel Transylvania Short,2021,6.7
The Mitchells vs. The Machines,2021,7.8
The Marksman,2021,5.6
The Little Things,2021,6.3
The Last Full Measure,2020,6.8
Oxygen (Oxygène),2021,6.5
Love and Monsters,2020,7
Project Power,2020,6
Buddy Games,2019,4.9
The Virtuoso,2021,4.9
Synchronic,2020,6.2
Fatman,2020,5.9
Wonder Woman 1984,2020,5.4
Soul,2020,8.1
The Swordsman (Geom-gaek),2020,6.8
Tom Clancy's Without Remorse,2021,5.8
Army of the Dead,2021,5.9
Friends: The Reunion,2021,8.4
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Justice Society: World War II,2021,6.4
Monster Pets: A Hotel Transylvania Short,2021,6.7
The Mitchells vs. The Machines,2021,7.8
The Marksman,2021,5.6
The Little Things,2021,6.3
The Last Full Measure,2020,6.8
Oxygen (Oxygène),2021,6.5
Love and Monsters,2020,7
Project Power,2020,6
Buddy Games,2019,4.9
The Virtuoso,2021,4.9
Synchronic,2020,6.2
Fatman,2020,5.9
Wonder Woman 1984,2020,5.4
Soul,2020,8.1
The Swordsman (Geom-gaek),2020,6.8
Tom Clancy's Without Remorse,2021,5.8
Army of the Dead,2021,5.9
Friends: The Reunion,2021,8.4
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Justice Society: World War II,2021,6.4
Monster Pets: A Hotel Transylvania Short,2021,6.7
The Mitchells vs. The Machines,2021,7.8
The Marksman,2021,5.6
The Little Things,2021,6.3
The Last Full Measure,2020,6.8
Oxygen (Oxygène),2021,6.5
Love and Monsters,2020,7
Project Power,2020,6
Buddy Games,2019,4.9
The Virtuoso,2021,4.9
Synchronic,2020,6.2
Fatman,2020,5.9
Wonder Woman 1984,2020,5.4
Soul,2020,8.1
The Swordsman (Geom-gaek),2020,6.8
Tom Clancy's Without Remorse,2021,5.8
Army of the Dead,2021,5.9
Friends: The Reunion,2021,8.4
Ooops! The Adventure Continues (Two by Two: Overboard!),2020,5.9
Justice Society: World War II,2021,6.4
Monster Pets: A Hotel Transylvania Short,2021,6.7
The Mitchells vs. The Machines,2021,7.8
The Marksman,2021,5.6
The Little Things,2021,6.3
The Last Full Measure,2020,6.8
Oxygen (Oxygène),2021,6.5
Love and Monsters,2020,7
Project Power,2020,6
Buddy Games,2019,4.9
The Virtuoso,2021,4.9
Synchronic,2020,6.2
Fatman,2020,5.9
